zone,date,population,day_of_week,is_weekend,is_poya,rainfall_mm,season,prev_volume_tons,waste_volume_tons,demand_level
Colombo,2026-01-01,750000,3,0,0,2.35,dry,562.5,531.23,LOW
Colombo,2026-01-02,750000,4,0,0,0.85,dry,531.23,555.83,MEDIUM
Colombo,2026-01-03,750000,5,1,1,0.3,dry,555.83,811.65,HIGH
Colombo,2026-01-04,750000,6,1,0,6.16,dry,811.65,818.56,HIGH
Colombo,2026-01-05,750000,0,0,0,0.1,dry,818.56,674.19,HIGH
Colombo,2026-01-06,750000,1,0,0,1.01,dry,674.19,603.58,MEDIUM
Colombo,2026-01-07,750000,2,0,0,1.81,dry,603.58,509.56,LOW
Colombo,2026-01-08,750000,3,0,0,1.72,dry,509.56,562.76,MEDIUM
Colombo,2026-01-09,750000,4,0,0,4.73,dry,562.76,550.59,MEDIUM
Colombo,2026-01-10,750000,5,1,0,2.28,dry,550.59,619.15,MEDIUM
Colombo,2026-01-11,750000,6,1,0,3.04,dry,619.15,661.74,HIGH
Colombo,2026-01-12,750000,0,0,0,3.61,dry,661.74,628.93,MEDIUM
Colombo,2026-01-13,750000,1,0,0,4.49,dry,628.93,599.15,MEDIUM
Colombo,2026-01-14,750000,2,0,0,0.93,dry,599.15,566.33,MEDIUM
Colombo,2026-01-15,750000,3,0,0,0.34,dry,566.33,547.53,MEDIUM
Colombo,2026-01-16,750000,4,0,0,0.51,dry,547.53,581.66,MEDIUM
Colombo,2026-01-17,750000,5,1,0,5.76,dry,581.66,629.16,MEDIUM
Colombo,2026-01-18,750000,6,1,0,3.42,dry,629.16,680.66,HIGH
Colombo,2026-01-19,750000,0,0,0,0.17,dry,680.66,615.13,MEDIUM
Colombo,2026-01-20,750000,1,0,0,5.43,dry,615.13,599.76,MEDIUM
Colombo,2026-01-21,750000,2,0,0,1.87,dry,599.76,659.27,HIGH
Colombo,2026-01-22,750000,3,0,0,1.02,dry,659.27,644.46,MEDIUM
Colombo,2026-01-23,750000,4,0,0,17.46,dry,644.46,609.63,MEDIUM
Colombo,2026-01-24,750000,5,1,0,12.75,dry,609.63,698.77,HIGH
Colombo,2026-01-25,750000,6,1,0,0.46,dry,698.77,696.85,HIGH
Colombo,2026-01-26,750000,0,0,0,1.58,dry,696.85,585.15,MEDIUM
Colombo,2026-01-27,750000,1,0,0,8.82,dry,585.15,535.95,MEDIUM
Colombo,2026-01-28,750000,2,0,0,3.91,dry,535.95,524.46,LOW
Colombo,2026-01-29,750000,3,0,0,0.76,dry,524.46,559.85,MEDIUM
Colombo,2026-01-30,750000,4,0,0,6.53,dry,559.85,586.14,MEDIUM
Colombo,2026-01-31,750000,5,1,0,7.38,dry,586.14,654.64,HIGH
Colombo,2026-02-01,750000,6,1,1,0.62,dry,654.64,857.29,HIGH
Colombo,2026-02-02,750000,0,0,0,9.94,dry,857.29,667.48,HIGH
Colombo,2026-02-03,750000,1,0,0,0.33,dry,667.48,645.92,MEDIUM
Colombo,2026-02-04,750000,2,0,0,1.86,dry,645.92,637.39,MEDIUM
Colombo,2026-02-05,750000,3,0,0,5.07,dry,637.39,574.68,MEDIUM
Colombo,2026-02-06,750000,4,0,0,10.91,dry,574.68,539.4,MEDIUM
Colombo,2026-02-07,750000,5,1,0,6.25,dry,539.4,631.46,MEDIUM
Colombo,2026-02-08,750000,6,1,0,7.15,dry,631.46,728.59,HIGH
